性状名称,分类,真实植物案例,进化原理,游戏效果,详细科普,标签,来源
攀援茎,茎-趋光,牵牛花;葡萄;丝瓜;常春藤;爬山虎,茎细长无法自立→借助支撑物向上生长→争取更多光照,+生长速度,"攀援植物通过卷须、不定根或缠绕攀爬，节省了构建支撑组织的能量。牵牛花茎生长速度可达每天5-10cm。热带攀援植物甚至可达60米以上，在雨林中争夺林冠层光照。",攀援;藤蔓;趋光,基础植物学
风媒传粉,繁殖-传粉,水稻;小麦;玉米;松树;杨树,产生大量轻小花粉→随风扩散→大范围传播,+繁殖范围,"风媒花植物每朵花可产生数万至数百万粒花粉。一株玉米可产生5000万粒花粉。松树的花粉粒有气囊结构，可随风飞行数百公里。但这种策略浪费巨大，99.99%的花粉不会到达目标柱头。",风媒;花粉;扩散,基础植物学
虫媒传粉,繁殖-传粉,油菜花;向日葵;樱花;月季;兰花,鲜艳花色和香气吸引昆虫→精准传粉→浪费少效率高,+繁殖效率,"虫媒花是植物与传粉昆虫协同进化的经典案例。油菜花的花粉粒表面有黏性物质（花粉黏合剂），可附着在蜜蜂体表。兰花更进化出精密的传粉结构——某些兰花的花型可模拟雌蜂外形诱导雄蜂交配传粉。",虫媒;传粉;蜜蜂,基础植物学
自体传播,繁殖-扩散,凤仙花;酢浆草;豌豆;油菜,果实成熟时纤维层张力释放→果皮爆裂弹射种子,+领地扩散,"凤仙花的果实受到触碰时5片果瓣瞬间螺旋卷曲，种子以高达10m/s的速度弹射至2-5米外。这种弹射机制利用了纤维层在干燥过程中的应力累积，类似弹簧储能。",弹射;自体;爆裂,基础植物学
动物传播,繁殖-扩散,苍耳;野燕麦;鬼针草;草莓,种子带钩刺倒毛→附着动物皮毛/羽毛或被取食后经消化排出,+远程扩散,"苍耳的果实表面有密集的倒钩刺，可牢固附着动物皮毛。野燕麦的芒在湿度变化时发生旋转运动，可''钻入''土壤和动物皮毛。草莓的果实被鸟类取食后种子经消化道排出，随鸟飞行传播数公里。",动物传播;钩刺;附着,基础植物学
卷须触性,茎-攀援,丝瓜;豌豆;黄瓜;西番莲,卷须接触支撑物后快速卷曲缠绕→固定攀援结构,+攀援稳定性,"丝瓜的卷须在接触物体后20-30秒内开始卷曲，数小时内完成缠绕。卷须的卷曲源于细胞膨压变化——接触侧细胞失水收缩，另一侧吸水膨胀，产生物理弯曲。这种反应不需神经系统，纯属细胞生理机制。",卷须;触性;攀援,基础植物学
种子休眠,种子-适应,沙漠植物;北极植物;一年生杂草,种皮坚硬/含抑制物质→延迟萌发→等待适宜条件,+逆境存活率,"种子休眠是植物''赌''未来的策略。沙漠植物种子的休眠期可达数十年。北极羽扇豆的种子在冻土中休眠10000年后仍可萌发。休眠由种皮透性、萌发抑制物和激素（脱落酸/赤霉素）比例共同调控。",休眠;萌发;种皮,基础植物学
菌根共生,根-共生,90%以上陆生植物;兰花;杜鹃花,根部与真菌形成共生体→真菌提供矿质营养、植物提供光合产物,+营养吸收效率,"菌根是植物与真菌的共生体，是真菌菌丝和植物根系的融合结构。菌丝网络可延伸到根系无法到达的土壤微孔中，吸收磷、氮等矿质元素。95%以上的陆生植物都有菌根。树木通过菌根网络可互相传递碳、氮甚至''预警信号''。",菌根;共生;真菌,基础植物学
C4光合,光合-适应,玉米;甘蔗;苋菜;藜麦,先固定CO₂为4碳化合物→再释放给Rubisco→减少光呼吸,+高温光合效率,"C4植物进化出一种''CO₂浓缩泵''：叶肉细胞将CO₂固定为草酰乙酸(4碳)，转运到维管束鞘细胞后释放CO₂进行卡尔文循环。这使Rubisco周围CO₂浓度提高10倍，几乎消除光呼吸。C4植物在高温干旱下光合效率可达C3植物的2倍。",C4;光合;光呼吸,进阶植物学
CAM光合,光合-适应,仙人掌;龙舌兰;景天;菠萝,夜间气孔开放固定CO₂→白天关闭气孔进行光合→减少水分流失,+干旱光合效率,"CAM植物将光合作用分成时间上的两个阶段：夜间气孔开放吸收CO₂，以苹果酸形式存储于液泡；白天关闭气孔，苹果酸释放CO₂进行光合。这使水分利用效率达C3植物的10倍。一株龙舌兰每固定1g碳仅消耗50-300g水，而C3植物需300-600g。",CAM;景天酸;节水,进阶植物学
